timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1711001033838,34689,Ask BOT,500,Internal Server Error,172.19.252.204:1099-Thread Group 1-5,text,false,,362,513,2,2,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,34689,0,13
1711001027802,50018,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.204:1099-Thread Group 1-3,text,false,,2110,0,1,1,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,14
1711000978403,50005,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.203:1099-Thread Group 1-5,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,0
1711000996526,50005,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.203:1099-Thread Group 1-2,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,0
1711001000521,50005,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.203:1099-Thread Group 1-3,text,false,,2110,0,4,4,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,0
1711001008996,50005,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.203:1099-Thread Group 1-4,text,false,,2110,0,3,3,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,0
1711001027802,50018,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.203:1099-Thread Group 1-1,text,false,,2110,0,2,2,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,14
1711001028407,50017,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.203:1099-Thread Group 1-5,text,false,,2110,0,1,1,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,13
1711000978178,50005,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-2,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,0
1711000978179,50004,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-5,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,0
1711001028183,3162,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-2,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,3162,0,8
1711001009129,24590,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-1,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,24590,0,0
1711001028183,5653,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-5,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,5653,0,8
1711001031345,2630,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-2,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,2630,0,0
1711001006752,50005,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-4,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,0
1711001027801,50018,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-3,text,false,,2110,0,4,4,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,14
1711001033719,50018,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-1,text,false,,2110,0,3,3,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,14
1711001033836,50005,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-5,text,false,,2110,0,2,2,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,0
1711001033975,50004,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-2,text,false,,2110,0,1,1,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,0
